Transcript_ID,HUVEC_low1,HUVEC_low2,HUVEC_low3,HUVEC_high1,HUVEC_high2,HUVEC_high3,HUVEC_high4,HUAEC_low1,HUAEC_low2,HUAEC_low3,HUAEC_low4,HUAEC_high1,HUAEC_high2,HUAEC_high3,HUAEC_high4
ENST00000679080.1,0,0,1.857607984,2.479614652,0.977980046,0,0,0,0.649810941,1.806861149,2.440209995,0,0,0.93610325,1.22538791
ENST00000679083.1,12.93843277,6.608853255,9.288039918,29.75537583,15.64768073,53.85794468,2.565332695,33.52810591,21.44376104,23.48919494,38.2299566,40.17364589,39.87582075,46.80516249,53.91706802
ENST00000679088.1,0,5.287082604,0,0,0.977980046,0,0,1.01600321,0,1.806861149,0.813403332,0,8.8612935,0,0
ENST00000679089.1,1.990528119,3.965311953,0,6.61230574,1.955960092,0,2.565332695,2.032006419,1.949432822,1.806861149,0,4.017364589,0,0,3.676163729
ENST00000679092.1,160.2375136,282.8589193,319.5085732,951.3454883,427.37728,1894.431832,252.6852705,2134.622743,1677.811849,1603.890414,2083.939336,2348.149602,2467.87024,2587.389382,2796.33521
ENST00000679094.1,0,2.643541302,0,3.30615287,1.955960092,0,2.565332695,1.01600321,0,3.613722299,0,4.017364589,0,0,0
ENST00000679095.1,9.952640594,13.21770651,5.572823951,6.61230574,12.7137406,4.274440054,12.82666348,12.19203851,12.34640787,10.23887985,14.64125997,6.026046883,13.29194025,9.361032497,6.126939548
ENST00000679096.1,0.995264059,0,0,1.653076435,0,1.709776022,0,0,0.649810941,1.806861149,0.813403332,0,0,0,0
ENST00000679097.1,0,0,1.857607984,0.826538217,0,0,0,0,0.649810941,1.2045741,0,0,0,1.872206499,0
ENST00000679100.1,0,1.321770651,1.857607984,0.826538217,0.977980046,0,1.282666348,0,0.649810941,0,0.813403332,0,0,0.93610325,1.22538791
ENST00000679102.1,0,0,0,1.653076435,0,0,0,0,0.649810941,0.60228705,2.440209995,2.008682294,0,2.808309749,1.22538791
ENST00000679103.1,0,0,1.857607984,0,0.977980046,2.564664033,1.282666348,1.01600321,0,0,3.253613327,1.004341147,0,1.872206499,1.22538791
ENST00000679104.1,0,0,0,0.826538217,1.955960092,0,0,2.032006419,3.898865644,3.011435249,4.880419991,7.030388031,0,1.872206499,3.676163729
ENST00000679105.1,0,0,0,0.826538217,2.933940137,0,1.282666348,1.01600321,1.299621881,0.60228705,0,2.008682294,4.43064675,0.93610325,1.22538791
ENST00000679106.1,1075.880448,2510.042466,2914.586926,8289.351783,3881.602802,15313.60894,3305.431178,11445.27616,8839.378227,8904.211744,11857.79377,13469.21913,12826.72234,13747.61233,14332.13699
ENST00000679107.1,5.971584356,3.965311953,3.715215967,7.438843957,10.7577805,1.709776022,1.282666348,5.080016048,5.848298467,4.216009349,4.880419991,1.004341147,0,0.93610325,1.22538791
ENST00000679109.1,249.8112789,278.8936073,245.2042538,267.7983825,232.7592509,243.6430831,252.6852705,249.9367895,290.4654905,257.1765703,237.5137729,216.9376878,234.8242777,260.2367034,269.5853401
ENST00000679110.1,0.995264059,19.82655976,16.71847185,18.18384078,18.58162087,20.51731226,14.10932982,17.27205456,16.89508446,13.85260215,20.3350833,17.0737995,8.8612935,15.91375525,18.38081864
