Ensayo de Compresion - Specimen_RawData_1
C10: 1.2462, C20: 0.0000, C30: 0.0000 (kPa)
Lambda Stress(kPa)
0.92511689 0.21167661
0.92497954 0.21225036
0.92488895 0.21201815
0.92475161 0.21201582
0.92461426 0.21213010
0.92447691 0.21366537
0.92434249 0.21531015
0.92420514 0.21519074
0.92411163 0.21658944
0.92397428 0.21545017
0.92383986 0.21624173
0.92370251 0.21847405
0.92361192 0.21867832
0.92347458 0.21793242
0.92333723 0.21920283
0.92324372 0.21918791
0.92310929 0.22163731
0.92297195 0.22241191
0.92283460 0.22216786
0.92274401 0.22271340
0.92260666 0.22337115
0.92246932 0.22430501
0.92233197 0.22318104
0.92224138 0.22384975
0.92210403 0.22606242
0.92201344 0.22608382
0.92191993 0.22556672
0.92178258 0.22499543
0.92169199 0.22575071
0.92155465 0.22731522
0.92141730 0.22875578
0.92132671 0.22754950
0.92118936 0.22732678
0.92105494 0.23040105
0.92091759 0.23051914
0.92082408 0.23062639
0.92068673 0.23318291
0.92059614 0.23078700
0.92045880 0.23289300
0.92036821 0.23371891
0.92023086 0.23224051
0.92009351 0.23393201
0.91995909 0.23523216
0.91986558 0.23463542
0.91977499 0.23535184
0.91968440 0.23475594
0.91959088 0.23704445
0.91945646 0.23709678
0.91936295 0.23698570
0.91927236 0.23688988
0.91913501 0.23978157
0.91899766 0.23789123
0.91886324 0.24089854
0.91872589 0.24115221
0.91858854 0.24019656
0.91845120 0.24085568
0.91831385 0.24065317
0.91817650 0.24211538
0.91803916 0.24179693
0.91794857 0.24426946
0.91781122 0.24212034
0.91767387 0.24497037
0.91753653 0.24496263
0.91744594 0.24639207
0.91730859 0.24545856
0.91721800 0.24800824
0.91708065 0.24740724
0.91699006 0.24832249
0.91689947 0.24874607
0.91680596 0.24980473
0.91666861 0.24886408
0.91657802 0.24894064
0.91644068 0.25022533
0.91630333 0.25115570
0.91621274 0.25365142
0.91607539 0.25081160
0.91594097 0.25053653
0.91580362 0.25498196
0.91566628 0.25490041
0.91552893 0.25615399
0.91539158 0.25561046
0.91525424 0.25754892
0.91511689 0.25675285
0.91497954 0.25615174
0.91484512 0.25739053
0.91475161 0.25959954
0.91461426 0.25937311
0.91447691 0.26050915
0.91438632 0.25957516
0.91424898 0.26088383
0.91411163 0.26102478
0.91402104 0.26269928
0.91388369 0.26350986
0.91374635 0.26292284
0.91361192 0.26428850
0.91351841 0.26595368
0.91338106 0.26638168
0.91329047 0.26626167
0.91315313 0.26507713
0.91306254 0.26548988
0.91292519 0.26642864
0.91283460 0.26658928
0.91269725 0.26742690
0.91255991 0.26814197
0.91246932 0.26884181
0.91233197 0.26878696
0.91224138 0.27066587
0.91215079 0.27081874
0.91201344 0.26900225
0.91191993 0.27069269
0.91178551 0.27223400
0.91169199 0.27176770
0.91155757 0.27187852
0.91146406 0.27412821
0.91132671 0.27511417
0.91123612 0.27391600
0.91109877 0.27552655
0.91096143 0.27654777
0.91082408 0.27557989
0.91073349 0.27759850
0.91059614 0.27793707
0.91046172 0.27928836
0.91032437 0.28082490
0.91023086 0.27893054
0.91009351 0.28071781
0.90995909 0.28008817
0.90986558 0.28323666
0.90972823 0.28433411
0.90959380 0.28538195
0.90950029 0.28439192
0.90936295 0.28559624
0.90922852 0.28559703
0.90913501 0.28498001
0.90899766 0.28687876
0.90886324 0.28681485
0.90872589 0.28748782
