gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000163584	ENST00000463836.1	2.92693875	1	0.087112529	0.304547823	0.23170842	0.247483242	0.095020364
ENSG00000291420	ENST00000707476.1	2.923896133	1	0.087276897	0.305046726	0.026890179	0.031697508	0.237290072
ENSG00000044574	ENST00000680272.1	2.921108222	1	0.0874278	0.305498332	0.07811354	0.087934645	0.170859042
ENSG00000143742	ENST00000651761.1	2.919492424	1	0.087515389	0.30572853	0.189126469	0.150748099	-0.327211479
ENSG00000114867	ENST00000676453.1	2.917058286	1	0.087647517	0.306114171	0.073533376	0.101063331	0.4587885
ENSG00000087842	ENST00000380420.10	2.914449482	1	0.087789367	0.306457577	0.344620811	0.396227676	0.201319827
ENSG00000093010	ENST00000406520.7	2.914551813	1	0.087783798	0.306457577	0.074526463	0.054722806	-0.445610572
ENSG00000167380	ENST00000585678.5	2.910819686	1	0.087987145	0.307071866	0.020833333	0.10326948	2.309448357
ENSG00000172965	ENST00000674087.1	2.909772631	1	0.088044286	0.307195154	0.226705358	0.212076767	-0.096231907
ENSG00000164978	ENST00000379155.9	2.907971883	1	0.088142653	0.307462184	0.352150377	0.438669418	0.316942506
ENSG00000142910	ENST00000463112.1	2.906382223	1	0.088229588	0.307689215	0.161966357	0.144718351	-0.162446303
ENSG00000137801	ENST00000260356.6	2.904432292	1	0.088336352	0.307909035	0.982152348	0.972127371	-0.014801476
ENSG00000137801	ENST00000397591.2	2.904432292	1	0.088336352	0.307909035	0.017847652	0.027872629	0.643114831
ENSG00000129562	ENST00000543337.1	2.900063607	1	0.088576057	0.308630488	0.012748369	0.005695911	-1.162314172
ENSG00000171858	ENST00000370562.1	2.899462771	1	0.08860908	0.308630488	0.018536272	0.014025457	-0.40230331
ENSG00000197956	ENST00000368719.9	2.899713648	1	0.08859529	0.308630488	0.426677444	0.445301828	0.061637687
ENSG00000109083	ENST00000357896.7	2.896191911	1	0.088789083	0.309180976	0.383888889	0.240237785	-0.676225724
ENSG00000108788	ENST00000346833.8	2.895792225	1	0.088811106	0.30918121	0.257545055	0.184342111	-0.482439169
ENSG00000071082	ENST00000409000.5	2.893223841	1	0.088952766	0.309597839	0.001346594	0.000594343	-1.179946462
ENSG00000129084	ENST00000530457.5	2.889667438	1	0.089149326	0.31020529	0.074621212	0.113351159	0.603141438
ENSG00000178982	ENST00000545173.6	2.88825792	1	0.089227359	0.310400116	0.018744735	0.029786131	0.668155291
ENSG00000099817	ENST00000589737.5	2.886623043	1	0.089317961	0.310638561	0.188064011	0.150925882	-0.317383564
ENSG00000087191	ENST00000580864.5	2.884005565	1	0.089463226	0.311066949	0.097735303	0.11813241	0.273453143
ENSG00000163466	ENST00000456575.1	2.880915837	1	0.089635028	0.311587378	0.163948563	0.145801823	-0.169234495
ENSG00000205981	ENST00000485675.2	2.876176742	1	0.089899239	0.312400239	0.015269133	0.008849955	-0.786876037
ENSG00000278574	ENST00000631862.1	2.875926133	1	0.089913235	0.312400239	0.270538721	0.200331183	-0.433448091
ENSG00000180098	ENST00000373830.4	2.87546146	1	0.08993919	0.31241334	0.33022533	0.442487496	0.422185901
ENSG00000109861	ENST00000677802.1	2.873386639	1	0.090055186	0.31273912	0.04727014	0.031568846	-0.582427623
ENSG00000177830	ENST00000323578.13	2.870376548	1	0.090223758	0.313170067	0.58969782	0.428782855	-0.459728641
ENSG00000185787	ENST00000561171.5	2.870544199	1	0.09021436	0.313170067	0.164835165	0.13793298	-0.257056603
ENSG00000100320	ENST00000416721.6	2.86889199	1	0.090307023	0.313381837	0.055302629	0.081604231	0.561295886
ENSG00000108010	ENST00000331244.10	2.866611047	1	0.090435117	0.313749032	0.549158249	0.445431979	-0.302016808
ENSG00000106628	ENST00000698946.1	2.864462794	1	0.09055594	0.314090824	0.11464079	0.173650702	0.599067788
ENSG00000161960	ENST00000577269.5	2.861701427	1	0.090711503	0.314552915	0.010774851	0.014987409	0.476083015
ENSG00000008517	ENST00000528163.6	2.860045963	1	0.090804904	0.314799275	0.109414653	0.129743588	0.245857288
ENSG00000138035	ENST00000447944.7	2.856281737	1	0.091017669	0.315407289	0.726190476	0.336092118	-1.111491301
