transcript_id,q_value
ENST00000267869.8,3.05E-14
ENST00000436146.2,3.21E-14
ENST00000483765.5,3.23E-14
ENST00000379341.9,3.24E-14
ENST00000439422.1,3.24E-14
ENST00000485390.5,3.67E-14
ENST00000517523.1,3.85E-14
ENST00000697731.1,3.92E-14
ENST00000523707.1,4.08E-14
ENST00000621781.4,4.08E-14
ENST00000678774.1,4.08E-14
ENST00000308153.9,4.15E-14
ENST00000477244.5,4.51E-14
ENST00000616928.3,4.58E-14
ENST00000626065.1,4.58E-14
ENST00000666609.1,4.87E-14
ENST00000610953.3,4.92E-14
ENST00000630852.1,4.92E-14
ENST00000222008.11,5.18E-14
ENST00000697722.1,5.27E-14
ENST00000552176.2,5.85E-14
ENST00000620396.4,6.25E-14
ENST00000482348.5,6.27E-14
ENST00000585480.1,6.58E-14
ENST00000670094.1,6.79E-14
ENST00000580887.5,6.79E-14
ENST00000265093.4,7.23E-14
ENST00000511860.1,8.04E-14
ENST00000632675.1,9.01E-14
ENST00000580649.1,9.75E-14
ENST00000367208.1,1.02E-13
ENST00000508200.5,1.16E-13
ENST00000504016.1,1.26E-13
ENST00000474582.1,1.30E-13
ENST00000697716.1,1.31E-13
ENST00000689426.1,1.32E-13
ENST00000592727.3,1.36E-13
ENST00000556431.1,1.39E-13
ENST00000525085.1,1.40E-13
ENST00000538814.5,1.55E-13
ENST00000649813.2,1.71E-13
ENST00000559376.1,1.80E-13
ENST00000379056.5,1.81E-13
ENST00000531975.5,2.22E-13
ENST00000370902.8,2.37E-13
ENST00000482069.5,2.38E-13
ENST00000629936.1,2.50E-13
ENST00000645540.1,2.51E-13
ENST00000338639.10,2.53E-13
ENST00000464651.1,2.53E-13
ENST00000618751.3,2.53E-13
ENST00000630768.1,2.53E-13
ENST00000552588.5,2.76E-13
ENST00000624362.2,2.77E-13
ENST00000527186.1,2.98E-13
ENST00000529421.5,3.03E-13
ENST00000461925.1,3.03E-13
ENST00000358227.5,3.09E-13
ENST00000372645.3,3.17E-13
ENST00000513124.1,3.24E-13
ENST00000424390.2,3.31E-13
ENST00000709893.1,3.31E-13
ENST00000517367.1,3.59E-13
ENST00000287038.8,3.65E-13
ENST00000504325.5,3.92E-13
ENST00000380377.9,4.10E-13
ENST00000518850.5,4.23E-13
ENST00000369722.8,5.00E-13
ENST00000533172.5,5.00E-13
ENST00000614288.1,5.19E-13
ENST00000270792.10,5.84E-13
ENST00000319041.6,5.84E-13
ENST00000518669.5,6.04E-13
ENST00000579226.5,6.31E-13
ENST00000511473.5,6.84E-13
ENST00000470671.1,6.87E-13
ENST00000613215.4,7.11E-13
ENST00000614132.4,7.64E-13
ENST00000633481.1,7.65E-13
ENST00000528296.5,8.03E-13
ENST00000541630.5,8.31E-13
ENST00000487892.1,8.59E-13
ENST00000469308.1,9.00E-13
ENST00000697730.1,9.28E-13
