gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000010278	ENST00000676638.1	0.03258624	1	0.85674703	1	0.044577877	0.042125343	-0.081639474
ENSG00000010278	ENST00000676764.1	0.150815063	1	0.697757668	1	0.042425242	0.038126167	-0.154141366
ENSG00000010278	ENST00000676788.1	0.367397353	1	0.544426363	1	0.040209989	0.045139477	0.166835758
ENSG00000010278	ENST00000677318.1	0.034677247	1	0.852273591	1	0.050829846	0.048864918	-0.056876778
ENSG00000010278	ENST00000677572.1	1.001612049	1	0.316920753	1	0.050863531	0.041386322	-0.297477578
ENSG00000010278	ENST00000677585.1	0.009718841	1	0.92146843	1	0.061594417	0.062737524	0.026529002
ENSG00000010278	ENST00000677718.1	0.175660115	1	0.675129707	1	0.044482148	0.040019637	-0.15251839
ENSG00000010278	ENST00000678719.1	0.250707888	1	0.616577072	1	0.039401515	0.033775014	-0.222294749
ENSG00000010278	ENST00000679331.1	0.546001867	1	0.459955946	1	0.004919861	0.006855868	0.478721871
ENSG00000010292	ENST00000315579.10	0	1	1	1	0.5	0.5	0
ENSG00000010292	ENST00000539084.5	0	1	1	1	0.5	0.5	0
ENSG00000010438	ENST00000342836.9	0.329151376	1	0.566159217	1	0.420771905	0.477999115	0.183969571
ENSG00000010438	ENST00000361005.10	0.329151376	1	0.566159217	1	0.579228095	0.522000885	-0.15007933
ENSG00000010810	ENST00000229471.8	0.005732295	1	0.939648292	1	0.191558442	0.194655793	0.023140677
ENSG00000010810	ENST00000354650.7	0.008194306	1	0.927872088	1	0.211471861	0.20601631	-0.037707149
ENSG00000010810	ENST00000368667.6	0.005732295	1	0.939648292	1	0.191558442	0.194655793	0.023140677
ENSG00000010810	ENST00000368678.8	0.001120631	1	0.973295144	1	0.193939394	0.198655793	0.034664984
ENSG00000010810	ENST00000368682.8	0.008194299	1	0.92787212	1	0.211471861	0.20601631	-0.037707149
