Gene name	fold change	p-value
HIKESHI	1.96405678741694	9.90997064115471E-14
RPL7P1	1.29769232070322	1.09689945791501E-13
RNASEK-C17orf49	2.07426785621884	1.118615095214E-13
NDUFA5	1.3218916808117	1.25256665538227E-13
PQBP1	1.81678110879789	1.35952043813342E-13
RPS9	1.27044555641024	1.45310905395009E-13
PSME2	1.63443236277157	1.79772660611376E-13
ECSCR	1.68718875670071	1.79772660611376E-13
ECSCR	1.68718875670071	1.79772660611376E-13
NBDY	1.83248687900056	1.87566954836401E-13
RPL11	1.88855864994897	1.8828028217047E-13
HLA-A	1.3687756314259	1.8828028217047E-13
CISD3	2.21271831067396	1.91839447119751E-13
CIAO2A	2.29055943849636	2.01201312617514E-13
MCFD2	1.19576915401668	2.14907623904819E-13
RNASEK	2.05355687853516	2.2113749530569E-13
NDUFB8	1.64614540068252	2.24358769772745E-13
ATP5PF	1.4965746627513	2.46838845777258E-13
MYL6	1.84098337660062	2.6081107524871E-13
CISD3	2.20520277042507	2.66172158171074E-13
FABP5	1.65643326721622	2.70607455401309E-13
UCHL1	1.32985432981401	2.71015106649857E-13
RPL10	2.27290040386404	2.71759145245797E-13
RPL18	1.50373840038381	2.77583924129798E-13
IGF2	3.72582723854619	2.80271358362539E-13
NDUFV2	1.3256306689225	2.8442222050396E-13
STMP1	1.95069011279776	3.07397801548857E-13
UBE2L3	1.62249942193944	3.07846908712722E-13
VPS28	2.2166983129652	3.22039157156662E-13
MRPS25	1.95925734976605	3.29973809192643E-13
SEC61G	1.44210790402733	3.73595862034419E-13
LSP1P4	2.19279864575562	3.89057773970976E-13
MRPL33	1.69842414764893	4.09980961934768E-13
RPL26	1.67991371087886	4.16646277886898E-13
ACP1	1.59236854947928	4.4150060701071E-13
UBA52	1.67691060090471	4.6058194614698E-13
CLIC1	1.55441566411352	4.6058194614698E-13
NME1-NME2	0.922472265883094	4.84416573880143E-13
RPL22	1.43742592338476	4.84416573880143E-13
NDUFA11	1.5433395470188	4.84416573880143E-13
RPL21P16	1.9877161349393	5.64579013633834E-13
PPIH	1.77683658890811	5.73083077158995E-13
MRPL55	1.5771321773328	5.74975565263754E-13
RPS24	1.48019579823862	5.79025296246927E-13
SH3BGRL3	1.83052357433413	5.89391564527547E-13
NDUFA11	1.54148956393894	5.89391564527547E-13
RNA5-8SN2	-0.983093290435345	5.89391564527547E-13
GNG5	1.70760792328832	5.99174121307594E-13
POLR2G	1.72935732090112	6.08792022227405E-13
RHOC	1.04604194451477	6.38219318024286E-13
WDR83OS	1.96397018370188	9.31963496736805E-13
KIF9	1.62394467388093	9.7359374601906E-13
RPS11	1.44789646606477	1.07057772320844E-12
DGUOK	1.88261509615111	1.10611239293977E-12
TAF9	1.41940035177326	1.12662628201103E-12
0	2.24760649533321	1.12662628201103E-12
0	1.97151523991301	1.12689326120415E-12
S100A16	1.27069911944752	1.16759380769644E-12
VPS28	2.40815956951064	1.2047058775751E-12
RPLP2	1.05140494275481	1.24283998624056E-12
