gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000173933	ENST00000409406.1	10.24366397	1	0.001371549	0.097896144	0.065373035	0.031829814	-1.038316927
ENSG00000170323	ENST00000518669.5	10.22289815	1	0.001387077	0.098475064	0.028079151	0.011814669	-1.248920039
ENSG00000168028	ENST00000697732.1	10.1612331	1	0.001434247	0.101282222	0.006698127	0.003492745	-0.939396489
ENSG00000122026	ENST00000483765.5	10.13057559	1	0.001458299	0.102435833	0.005264721	0.004203055	-0.324918958
ENSG00000278229	ENST00000633919.1	10.11086439	1	0.001473978	0.102992284	0.001445635	0.00082592	-0.807629976
ENSG00000178980	ENST00000599874.5	10.08131613	1	0.001497803	0.104109079	0.36178447	0.394441077	0.12467932
ENSG00000120727	ENST00000394795.6	10.05374537	1	0.001520385	0.105128305	0.194553634	0.107865884	-0.850929282
ENSG00000278229	ENST00000632799.1	10.0096292	1	0.001557239	0.107118659	0.065372206	0.060870726	-0.102928819
ENSG00000132341	ENST00000464211.6	9.995570776	1	0.001569172	0.107383121	0.053525943	0.034596456	-0.62961406
ENSG00000285339	ENST00000642202.1	9.970487477	1	0.001590694	0.108297691	0.059502659	0.035903312	-0.728837213
ENSG00000143727	ENST00000463831.1	9.89014403	1	0.001661664	0.112552277	0.03442792	0.01904882	-0.853877385
ENSG00000168028	ENST00000697735.1	9.864085612	1	0.001685364	0.113578147	0.019601384	0.013798655	-0.506427844
ENSG00000168028	ENST00000697733.1	9.822741923	1	0.001723672	0.115573069	0.003289485	0.001219683	-1.431355556
ENSG00000147403	ENST00000406022.6	9.799522828	1	0.001745572	0.11615097	0.011443753	0.00948467	-0.27089082
ENSG00000198242	ENST00000580755.1	9.795085613	1	0.001749789	0.11615097	0.00126521	0.000845494	-0.581509884
ENSG00000105193	ENST00000602153.5	9.762117859	1	0.001781446	0.117664046	0.00330305	0.002345546	-0.493875202
ENSG00000166741	ENST00000541754.1	9.748435805	1	0.001794754	0.117956186	0.055418043	0.036458441	-0.604102923
ENSG00000137038	ENST00000358227.5	9.720962146	1	0.001821781	0.119142696	0.871503002	0.936402341	0.103622909
ENSG00000205544	ENST00000576017.1	9.674554626	1	0.001868376	0.121590951	0.049401356	0.030147283	-0.712522669
ENSG00000142937	ENST00000396651.8	9.640873888	1	0.001902947	0.122893822	0.461034539	0.475613669	0.044915341
ENSG00000283771	ENST00000638558.1	9.637053164	1	0.001906909	0.122893822	0.049415665	0.030153834	-0.712627002
ENSG00000145592	ENST00000511787.1	9.602364325	1	0.00194327	0.124632136	0.004231206	0.003197438	-0.404152835
ENSG00000002549	ENST00000503467.1	9.581705263	1	0.001965258	0.125436364	0.065907773	0.100821618	0.613284478
ENSG00000111669	ENST00000474253.1	9.548095273	1	0.00200157	0.127142798	0.073468792	0.050210296	-0.54914832
ENSG00000213625	ENST00000497874.5	9.527028635	1	0.002024677	0.1273915	0.687893178	0.774828452	0.171692384
ENSG00000241837	ENST00000429064.1	9.532238235	1	0.002018938	0.1273915	0.016249212	0.01034808	-0.65100667
ENSG00000197958	ENST00000536368.1	9.515364333	1	0.002037586	0.127599047	0.016966491	0.013588436	-0.320308824
ENSG00000073584	ENST00000643318.1	9.472730733	1	0.002085487	0.128112149	0.253329487	0.086356006	-1.552646582
