transcript_id,q_value
ENST00000601891.5,0.293827186
ENST00000644684.1,0.293827186
ENST00000644325.1,0.296304774
ENST00000409682.8,0.296351347
ENST00000548847.1,0.299755909
ENST00000379253.7,0.299755909
ENST00000647131.1,0.299755909
ENST00000349264.10,0.300605979
ENST00000691032.1,0.301381452
ENST00000631575.1,0.306844093
ENST00000665724.1,0.310372657
ENST00000483534.5,0.310372657
ENST00000695797.1,0.313599857
ENST00000586316.5,0.313599857
ENST00000295702.9,0.314743602
ENST00000439025.1,0.314743602
ENST00000482384.1,0.315383969
ENST00000538814.5,0.315383969
ENST00000511348.1,0.315383969
ENST00000521260.2,0.315383969
ENST00000525690.1,0.315966289
ENST00000570259.1,0.316109166
ENST00000525509.1,0.320100107
ENST00000530912.5,0.320100107
ENST00000567713.5,0.320100107
ENST00000589781.1,0.324383394
ENST00000249289.5,0.32583419
ENST00000492758.1,0.32583419
ENST00000439930.7,0.32583419
ENST00000710862.1,0.330730371
ENST00000695859.1,0.332719978
ENST00000541679.7,0.332719978
ENST00000307106.3,0.332719978
ENST00000477703.6,0.332719978
ENST00000316084.10,0.332719978
ENST00000573784.6,0.333756776
ENST00000376263.8,0.336315071
ENST00000439422.1,0.341859053
ENST00000639880.1,0.341859053
ENST00000476258.5,0.348319952
ENST00000484178.5,0.3487467
ENST00000370085.3,0.3487467
ENST00000515463.1,0.349437688
ENST00000542765.4,0.350162869
ENST00000486204.5,0.350162869
ENST00000549533.1,0.350711114
ENST00000271638.3,0.350711114
ENST00000478109.1,0.350711114
ENST00000564404.5,0.35287967
ENST00000623550.1,0.357102785
ENST00000675417.1,0.357523638
ENST00000336520.8,0.357523638
ENST00000559720.5,0.357523638
ENST00000472283.1,0.357523638
ENST00000493945.6,0.35821536
ENST00000424390.2,0.35821536
ENST00000633650.1,0.359140349
ENST00000679190.1,0.361077584
ENST00000444470.6,0.361077584
ENST00000319248.13,0.361342876
ENST00000306357.9,0.362225415
ENST00000276585.9,0.364418752
ENST00000519386.5,0.364418752
ENST00000630983.1,0.364418752
ENST00000310786.10,0.364776907
ENST00000279259.7,0.365252319
ENST00000448750.7,0.368974434
ENST00000468262.5,0.368974434
ENST00000547276.5,0.372779687
ENST00000601655.5,0.375381263
ENST00000378364.8,0.37872211
ENST00000699790.1,0.383368094
ENST00000476268.6,0.3850056
ENST00000367679.7,0.387152923
ENST00000528164.1,0.390170563
ENST00000563655.5,0.39027251
ENST00000619362.2,0.390493133
ENST00000366525.8,0.392942901
ENST00000588622.1,0.393654562
ENST00000322347.11,0.393654562
ENST00000544381.4,0.396045751
ENST00000357865.6,0.397165131
