gene_id	gene_name	logFC	logCPM	F	PValue	FDR
MSTRG.134	MSTRG.134	1.31412905474559	-0.320489208535456	2.04793823518889	0.15981704876015	0.364283690587335
MSTRG.3561		1.34829956052705	-0.0353998984757288	2.04708800900241	0.159901731377301	0.364283690587335
MSTRG.14265		-0.624985063587864	2.28983652068337	2.04608089431601	0.160002108351568	0.364283690587335
MSTRG.13540	MSTRG.13540	-0.480801724321311	3.45981950862407	2.04579653102628	0.160030463642146	0.364283690587335
MSTRG.4704		0.755718237787886	2.12739468258309	2.04575951233627	0.160034155396007	0.364283690587335
MSTRG.15259	MSTRG.15259	0.325861587375305	4.30723652234118	2.04526578193313	0.160083403100459	0.364283690587335
MSTRG.11920		-1.05843346044776	0.204403451748096	2.04515095208822	0.160094859488218	0.364283690587335
MSTRG.14113		-1.59654387971036	-1.01352761095256	2.04506010768986	0.160103923569652	0.364283690587335
MSTRG.5768	MSTRG.5768	0.270781408460487	11.0156794247859	2.0449702304906	0.160112891741601	0.364283690587335
MSTRG.18711	MSTRG.18711	-0.530988523759619	2.69793623661531	2.04454754409832	0.160155076368175	0.364283690587335
MSTRG.460		0.354472552784727	4.4166732706529	2.04136770169854	0.160472847831834	0.364283690587335
MSTRG.20874		-1.37873073487396	-0.171485502812199	2.04062093965458	0.160547581522802	0.364283690587335
MSTRG.22835		1.68275737752621	-1.10971224219257	2.03897630932298	0.160712315533678	0.364283690587335
MSTRG.27674	MSTRG.27674	-0.986669341512143	1.567267443046	2.0388128414704	0.160728700110899	0.364283690587335
MSTRG.22651		1.55914755216968	-0.586353466474749	2.03752714403774	0.160857635605334	0.364283690587335
ENSG00000290517.1	ENSG00000290517	-1.55506389199179	-1.07556522491654	2.03699815746487	0.160910720066817	0.364283690587335
ENSG00000290877.1	ROCK1P1	-0.969912883261779	1.17104453478969	2.03579378596134	0.161031657128482	0.364283690587335
MSTRG.6900		-0.966452187391296	0.705030834764456	2.03517001246322	0.161094335420816	0.364283690587335
ENSG00000117481.11	NSUN4	-0.859115632742108	1.42850502391128	2.03444291022949	0.161167432665077	0.364283690587335
MSTRG.21905		-1.4636716491973	-0.697143766702923	2.03434809676364	0.161176967354303	0.364283690587335
ENSG00000282700.1	ENSG00000282700	-1.16053515417876	-0.360135102817093	2.03432452443553	0.161179337952049	0.364283690587335
ENSG00000073969.19	NSF	0.529451215415948	3.2910524752243	2.0336652652502	0.161245654273111	0.364283690587335
MSTRG.19295	MSTRG.19295	1.24965482846859	0.269927902542874	2.03366312613905	0.161245869503213	0.364283690587335
MSTRG.1218		-0.64838717422499	1.75519634289984	2.03289739227935	0.161322936765644	0.364283690587335
MSTRG.22871	MSTRG.22871	-0.745683132440288	1.46722169334454	2.03271147008941	0.161341655437115	0.364283690587335
MSTRG.17874		1.26770269616937	-0.32904937079106	2.03238652279239	0.161374377311892	0.364283690587335
MSTRG.4642	MSTRG.4642	-0.379330355640888	3.85119295923006	2.031939408549	0.16141941404294	0.364283690587335
ENSG00000278091.4	ZNF85	-0.990919931791592	0.961808871352787	2.03172717084246	0.16144079740733	0.364283690587335
MSTRG.18064		-0.429026551486118	3.7630373769431	2.03167021117007	0.161446536773094	0.364283690587335
MSTRG.20113		0.913337705245728	0.805492654926411	2.03063783511898	0.161550602584925	0.364283690587335
MSTRG.8366		-0.901711310151213	1.34962385888049	2.02998535771154	0.161616414473291	0.364283690587335
MSTRG.13249		-1.37606560373118	-0.221193276910909	2.02989075390512	0.161625959269247	0.364283690587335
ENSG00000232940.8	HCG25	1.43009440354587	-0.863427794374881	2.02978541289751	0.161636588146734	0.364283690587335
MSTRG.24148	MSTRG.24148	0.428563321017504	3.55308472676042	2.02958884261714	0.161656424231359	0.364283690587335
MSTRG.1848	MSTRG.1848	-0.363141171638569	4.53202892326809	2.02923240681517	0.161692399797503	0.364283690587335
ENSG00000283630.3	FRG1	0.430940245957799	3.598914169172	2.02869876690698	0.161746278437204	0.364283690587335
MSTRG.5065	MSTRG.5065	-0.580818149407295	2.62640644980868	2.02831571872334	0.161784965698559	0.364283690587335
ENSG00000185829.19	ARL17A	0.61539036793074	2.50217132090464	2.02740048488314	0.161877446976696	0.364283690587335
ENSG00000151553.16	FHIP2A	-0.986822408874837	0.744788350606588	2.02699239413388	0.161918703220231	0.364283690587335
MSTRG.28087		-0.769674150014355	1.87324810445335	2.02677876681577	0.161940304970748	0.364283690587335
MSTRG.14198	MSTRG.14198	1.2574348344273	0.29261528512432	2.02675467738015	0.16194274107979	0.364283690587335
MSTRG.5682	MSTRG.5682	-1.04180571276872	0.419753411549746	2.02657587493955	0.161960824306424	0.364283690587335
MSTRG.11454	MSTRG.11454	0.593880904896149	2.66950164978304	2.02627799460324	0.161990955782345	0.364283690587335
MSTRG.1752		-1.26873742907221	-0.400784546362647	2.02600092887438	0.162018987722301	0.364283690587335
MSTRG.39		1.07961068759527	0.0402891195542108	2.02538952061089	0.162080866750265	0.364283690587335
MSTRG.11936	MSTRG.11936	1.568854388457	-1.09816250016475	2.024859898825	0.162134490870859	0.364283690587335
ENSG00000148090.12	AUH	1.62261168104646	-1.11086742008521	2.02446723772719	0.162174261226225	0.364283690587335
MSTRG.20931	MSTRG.20931	0.639324744112742	2.09949263477176	2.02413508639646	0.162207911866048	0.364283690587335
MSTRG.8837		-1.01766165314614	0.277757223321503	2.02384849269423	0.162236953615629	0.364283690587335
MSTRG.13800		-0.704174670736123	1.66155378524853	2.02308458808201	0.162314393203605	0.364283690587335
MSTRG.793	MSTRG.793	0.411688503374971	3.87872726770728	2.0228956424729	0.162333553970175	0.364283690587335
MSTRG.24299	MSTRG.24299	-0.577100011444069	2.64344950534897	2.02264526748056	0.162358948325651	0.364283690587335
MSTRG.22830	MSTRG.22830	-0.324738021442637	5.80886697821424	2.02262544402917	0.162360959124709	0.364283690587335
MSTRG.26797		1.34660709747744	-0.648130116824307	2.02260497020101	0.162363035925753	0.364283690587335
