gene_id	feature_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.10734	ENST00000695641.1	0	0	0	1	0	2	0	0	6	0	0	0	0	0	0
MSTRG.10734	ENST00000695656.1	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1
MSTRG.10734	ENST00000695657.1	2	3	2	2	3	10	3	4	6	3	1	2	2	7	0
MSTRG.10734	ENST00000695658.1	1	0	0	4	4	2	0	1	1	1	0	2	1	1	0
MSTRG.10734	ENST00000695662.1	5	4	0	4	8	16	3	6	11	2	3	3	2	9	4
MSTRG.25047	ENST00000695664.1	2	0	5	18	5	10	6	6	10	4	5	1	0	8	0
MSTRG.17339	ENST00000695669.1	0	0	0	3	1	1	0	4	1	1	4	3	0	6	3
MSTRG.17339	ENST00000695675.1	5	7	3	4	9	5	4	7	10	11	6	11	2	3	6
MSTRG.10734	ENST00000695694.1	3	3	0	4	5	18	5	7	11	4	2	2	3	8	4
MSTRG.25047	ENST00000695707.1	4	0	8	14	4	8	3	8	10	5	5	0	2	7	1
MSTRG.25047	ENST00000695708.1	8	0	5	17	1	13	7	5	9	6	8	0	2	5	2
MSTRG.5350	ENST00000695719.1	0	3	0	3	3	7	0	1	7	1	1	0	0	0	3
MSTRG.5350	ENST00000695721.1	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0
MSTRG.5350	ENST00000695722.1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
MSTRG.10734	ENST00000695731.1	6	3	1	4	3	3	1	0	2	1	0	0	2	2	3
MSTRG.10734	ENST00000695732.1	0	1	1	1	4	0	1	2	6	2	0	1	0	1	0
MSTRG.10734	ENST00000695733.1	1	1	3	4	0	3	1	2	7	0	0	0	0	1	2
MSTRG.10734	ENST00000695734.1	1	2	0	2	2	11	1	2	8	2	3	3	1	7	0
MSTRG.9747	ENST00000695774.1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0
MSTRG.2924	ENST00000695775.1	50	27	39	55	42	93	32	68	99	118	92	69	20	72	65
ENSG00000147394.20	ENST00000695776.1	4	3	1	0	1	0	4	0	0	2	1	0	0	2	0
MSTRG.2549	ENST00000695777.1	6	3	3	4	1	6	7	5	10	6	9	6	0	1	6
MSTRG.2549	ENST00000695778.1	8	3	3	6	4	12	6	9	10	8	4	7	2	3	3
MSTRG.2549	ENST00000695779.1	2	4	1	7	4	7	2	8	6	3	5	9	0	3	2
MSTRG.2549	ENST00000695780.1	4	2	2	12	0	8	4	7	9	4	4	5	1	3	5
MSTRG.2549	ENST00000695781.1	8	4	4	11	2	7	3	11	9	1	8	5	0	3	1
MSTRG.2549	ENST00000695782.1	3	4	3	5	3	7	4	8	11	4	9	8	0	3	1
MSTRG.2549	ENST00000695783.1	6	2	4	8	5	3	6	10	6	7	13	4	3	3	3
MSTRG.2549	ENST00000695784.1	2	3	3	10	3	4	5	6	7	3	5	4	1	2	3
MSTRG.2549	ENST00000695786.1	5	1	1	2	4	2	1	7	7	3	6	3	0	2	3
MSTRG.2549	ENST00000695788.1	8	1	0	5	1	3	3	9	4	0	2	1	2	2	4
MSTRG.2549	ENST00000695790.1	4	2	1	3	3	6	2	5	6	5	6	0	0	2	2
MSTRG.9095	ENST00000695792.1	48	34	31	90	76	101	57	125	190	185	148	128	31	209	146
MSTRG.575	ENST00000695796.1	57	56	40	137	79	223	56	133	184	157	153	155	28	184	143
MSTRG.575	ENST00000695797.1	61	51	30	56	57	57	41	82	99	125	87	84	18	97	48
MSTRG.575	ENST00000695798.1	53	50	34	66	56	51	44	68	96	115	80	75	20	90	67
MSTRG.575	ENST00000695799.1	53	49	34	74	61	66	45	81	100	112	85	94	20	87	70
MSTRG.575	ENST00000695800.1	56	58	27	131	87	213	75	132	181	179	148	164	40	166	132
MSTRG.575	ENST00000695801.1	43	43	41	69	51	50	36	42	81	67	45	40	8	47	36
MSTRG.575	ENST00000695802.1	63	57	45	135	83	227	53	138	179	188	148	152	31	173	145
MSTRG.18245	ENST00000695803.1	23	14	9	31	22	49	26	28	34	42	33	32	3	30	26
MSTRG.18245	ENST00000695804.1	4	9	5	23	8	31	8	19	23	24	26	18	2	18	8
MSTRG.18245	ENST00000695805.1	6	5	7	18	9	32	10	18	25	22	22	19	0	8	14
MSTRG.18245	ENST00000695806.1	6	5	6	13	15	19	10	11	22	26	24	14	2	11	9
MSTRG.18245	ENST00000695807.1	0	0	1	0	0	0	1	0	0	6	0	0	0	0	0
MSTRG.2544	ENST00000695822.1	0	1	1	0	1	1	2	0	0	2	0	0	1	0	3
MSTRG.2544	ENST00000695823.1	12	9	1	10	9	11	7	2	7	11	5	3	2	17	8
MSTRG.2544	ENST00000695824.1	6	1	9	20	12	47	22	12	34	28	17	46	8	52	58
MSTRG.2544	ENST00000695825.1	10	6	1	14	9	20	7	4	11	3	11	6	6	20	10
MSTRG.2544	ENST00000695827.1	12	3	2	12	10	21	11	3	10	4	12	10	5	20	12
MSTRG.2544	ENST00000695828.1	6	1	8	20	11	49	21	12	34	27	17	45	7	51	56
MSTRG.2544	ENST00000695829.1	0	0	0	0	0	0	0	0	0	3	0	1	1	1	1
MSTRG.2544	ENST00000695831.1	8	6	0	11	10	3	5	4	2	5	6	4	0	12	5
MSTRG.2959	ENST00000695832.1	0	0	0	0	1	0	0	0	0	3	1	2	0	0	0
MSTRG.2959	ENST00000695834.1	0	0	2	0	1	0	0	0	0	3	0	2	0	0	0
MSTRG.2959	ENST00000695835.1	2	0	1	1	0	0	0	0	0	2	2	3	0	0	0
MSTRG.21020	ENST00000695844.1	0	0	0	2	0	1	1	4	0	0	0	2	3	6	0
MSTRG.21020	ENST00000695845.1	0	0	0	2	0	3	2	5	0	0	0	0	3	7	0
MSTRG.26077	ENST00000695850.1	3	0	0	2	3	0	6	0	0	0	0	0	0	0	0
MSTRG.26077	ENST00000695852.1	2	0	0	0	4	0	4	0	0	0	0	1	0	0	0
MSTRG.26077	ENST00000695853.1	2	0	3	2	3	0	5	0	0	0	0	0	0	0	0
MSTRG.18245	ENST00000695854.1	19	10	9	18	10	21	15	10	14	28	13	16	0	19	9
