gene_id	gene_name	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.17809		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MSTRG.1781		1	6	0	1	2	3	0	2	1	1	3	3	0	3	2
MSTRG.17810		755	919	727	3290	1753	5295	1170	5904	8135	8232	7581	6581	1254	6813	5586
MSTRG.17811		36	25	31	56	48	58	25	15	68	46	52	72	1	52	39
MSTRG.17812		0	0	0	0	0	2	0	0	0	0	0	1	0	0	2
MSTRG.17814		6	30	7	42	49	29	9	0	14	25	21	6	1	1	11
MSTRG.17815	MSTRG.17815	1	4	0	21	1	4	8	8	14	32	12	15	0	10	18
MSTRG.17816		19	28	2	16	12	17	3	6	34	9	12	3	0	3	1
MSTRG.17818	MSTRG.17818	35	23	10	22	40	56	27	52	96	145	95	50	10	72	121
MSTRG.17819	MSTRG.17819	0	0	0	0	0	0	2	0	2	0	1	2	0	0	0
MSTRG.1782		0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
MSTRG.17823	MSTRG.17823	0	0	0	0	0	3	1	0	0	0	1	0	1	0	2
MSTRG.17824	MSTRG.17824	168	128	78	102	129	189	66	98	229	158	83	93	12	69	113
MSTRG.17825	MSTRG.17825	16	0	0	0	1	0	0	0	6	17	17	12	0	0	9
MSTRG.17826		0	1	0	0	1	1	1	4	2	0	2	1	0	1	1
MSTRG.17829		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MSTRG.1783	MSTRG.1783	0	0	0	1	3	18	0	4	8	18	12	1	1	1	3
MSTRG.17832		0	0	0	0	0	0	0	0	6	0	0	0	0	4	0
MSTRG.1784	MSTRG.1784	0	0	0	0	0	0	0	1	0	1	0	0	0	5	0
MSTRG.1785	MSTRG.1785	0	0	1	0	0	0	5	96	124	127	131	102	17	88	47
MSTRG.17853	MSTRG.17853	40	61	13	60	57	56	28	59	91	80	89	59	3	57	56
MSTRG.17854		212	145	61	249	161	377	152	219	332	292	316	233	34	219	237
MSTRG.17855	MSTRG.17855	337	154	96	169	295	216	155	233	331	286	166	137	31	155	128
MSTRG.17856		3	2	0	5	4	1	1	0	9	5	4	2	0	3	1
MSTRG.17857		0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
