gene_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.27000	108.133197874777	106.068168120513	102.422876121996	81.6672069185814	62.0554056790494	41.8949994009015	55.5066648366287	42.562285291129	54.9850184729137	36.929622976648	33.7708700860693	45.5261833496676	49.4354091069012	42.9057303817932	31.9648228646509
MSTRG.27001	20.9427932642848	29.6004190103758	14.2406137923631	7.39568155139369	17.8377886769737	5.38649992297305	9.41931282076124	8.33387404301827	10.3704553504906	9.93487139860912	6.57285390936918	4.72999307529014	0.642018300089626	3.27346171850193	5.93632424629231
MSTRG.27002	6.41105916253616	2.46670158419798	0.547715915090888	6.7662618448921	3.768546903586	3.47129995036041	3.70044432244192	3.42284112481107	4.42904863927203	4.11444169033307	4.53300269611668	4.49349342152563	4.49412810062738	3.74109910685935	0.304426884425247
MSTRG.27003	3.41923155335262	1.23335079209899	1.09543183018178	1.73090419287937	1.75865522167347	0.35909999486487	1.68202014656451	0.74409589669806	2.48458826105504	1.40493130889422	1.24657574143209	1.89199723011606	2.5680732003585	1.05218412380419	0.91328065327574
MSTRG.27004	44.8774141377531	24.2558989112801	16.4314774527266	43.7446696018606	43.9663805418366	44.6480993615322	47.769372162432	9.67324665707477	6.91363690032707	10.0352236349587	10.5392312684713	13.2439806108124	25.0387137034954	13.6783936094545	15.6779845479002
MSTRG.27006	0.854807888338155	0.822233861399327	0.547715915090888	3.14709853250795	0	2.63339996234238	3.02763626381611	1.04173425537728	1.83643480164938	2.60915814508926	0.793275471820419	0.118249826882253	0	0.116909347089355	1.21770753770099
MSTRG.27008	16.668753822594	10.2779232674916	32.8629549054533	17.4663968554191	23.3649908022332	13.7654998031534	17.156605494958	12.2031727058482	11.4507111161667	16.5581189976819	8.04607978560711	12.2979819957544	8.34623790116514	15.4320338157948	15.5257711056876
MSTRG.27009	0.427403944169078	0	0	0.157354926625398	0	0	1.34561611725161	0	0.10802557656761	0.100352236349587	0	0	0	0	0
MSTRG.2701	0	0.411116930699663	0	0.157354926625398	0	0.11969999828829	0	0	0	0	0	0	0	0	0
MSTRG.27011	0	0.411116930699663	1.09543183018178	0.786774633126989	0	0.11969999828829	0	0	0	0.100352236349587	0	0.118249826882253	0	0	0
MSTRG.27012	0	3.28893544559731	0.547715915090888	0.629419706501591	1.25618230119533	1.1969999828829	1.34561611725161	2.08346851075457	2.91669056732548	1.90669249064215	2.60647655026709	2.12849688388056	0	1.87054955342968	1.21770753770099
MSTRG.27014	0.854807888338155	0.822233861399327	1.64314774527266	0.157354926625398	2.76360106262973	0.71819998972974	0.336404029312901	0.595276717358448	0	0.602113418097522	0.113325067402917	0.236499653764507	0	0.584546735446774	0.45664032663787
MSTRG.27016	24.7894287618065	6.16675396049495	12.0497501319995	6.29419706501591	7.03462088669386	15.5609997774777	12.1105450552645	6.10158635292409	5.1852276752453	9.83451916225953	4.6463277635196	3.3109951527031	8.34623790116514	3.39037106559129	3.95754949752821
MSTRG.27017	0.427403944169078	0	0	0	0	0	0	0	0	0	0.113325067402917	0	0	0	0
MSTRG.27018	189.76735121107	145.946510398381	125.974660470904	74.2715253671877	108.785387283516	43.4510993786493	70.6448461557093	52.3843511275434	54.8769928963461	58.806410500858	47.1432280396135	39.0224428711436	57.1396287079767	58.1039455034093	45.8162461059996
MSTRG.27019	2.56442366501447	2.46670158419798	0.547715915090888	0.944129559752386	2.2611281421516	0.95759998630632	5.38246446900642	0.446457538018836	0	1.10387459984546	0.906600539223336	0.709498961293521	0	0.233818694178709	0.45664032663787
MSTRG.2702	404.751535128116	386.038797926984	396.546322525803	428.162755347707	400.219681160833	608.195691302802	325.302696345576	461.041817594118	422.920132262195	442.051601119931	420.436000064822	371.067956756511	679.255361494824	458.050821896092	427.415345733046
MSTRG.27022	15.3865419900868	0	10.9543183018178	9.44129559752386	6.0296750457376	6.34409990927937	10.092120879387	0.148819179339612	1.51235807194655	0.100352236349587	3.39975202208751	2.12849688388056	0	3.50728041268064	2.73984195982722
MSTRG.27023	23.0798129851302	0.411116930699663	15.8837615376358	2.36032389938097	9.04451256860639	6.46379990756766	14.1289692311419	3.27402194547146	9.07414843167928	6.02113418097522	2.60647655026709	0.118249826882253	10.9143111015236	0.116909347089355	1.9787747487641
MSTRG.27025	10.2576946600579	0.411116930699663	5.47715915090888	1.25883941300318	2.51236460239067	0.11969999828829	6.39167655694513	1.33937261405651	3.34879287359592	6.62324759907275	0	0.118249826882253	0	0.116909347089355	6.08853768850493
MSTRG.27026	15.3865419900868	0	7.66802281127243	1.57354926625398	0	1.43639997945948	6.72808058625803	9.67324665707477	4.75312536897486	1.20422683619504	3.73972722429626	2.01024705699831	0.642018300089626	1.51982151216161	0
MSTRG.27027	0	0	0	0.157354926625398	0	0	0	0.148819179339612	0.10802557656761	0	0	0	0	0	0.152213442212623
MSTRG.2703	0	0	0	0	0	0.35909999486487	0	0	0	0	0	0	0	0	0
MSTRG.27031	0.854807888338155	0	0.547715915090888	0.157354926625398	0.7537093807172	0.47879999315316	1.0092120879387	0	0	0.200704472699174	0	0.236499653764507	0.642018300089626	0.116909347089355	0
MSTRG.27032	0	0	0	0	0	0.35909999486487	0	0	0	0	0	0	0	0	0
MSTRG.27033	57.6995324628255	47.689563961161	53.1284437638161	25.1767882600636	50.7497649682914	7.30169989558569	28.2579384622837	22.3228769009418	19.0125014758994	23.7834800148521	14.1656334253646	13.1257307839301	25.680732003585	18.9393142284755	15.373557663475
MSTRG.27034	7.6932709950434	4.93340316839596	0	5.35006750526352	2.00989168191253	4.30919993837844	5.04606043969352	1.78583015207534	6.69758574719185	2.00704472699174	1.359900808835	1.7737474032338	0	0.935274776714838	2.43541507540197
MSTRG.27036	0	0	0	0	0	0	0	0	0	0	0.113325067402917	0	0	0	0
MSTRG.27037	753.513153570084	949.680109916223	968.909453795781	1226.89636289823	1090.36623743755	1113.2099840811	1135.36359893104	1002.14835367295	961.535657028301	985.960722134693	991.820989910329	1074.06317757151	1065.10835984869	1040.49318909526	1090.0004596846
MSTRG.2704	0	0	0	0	0	0	0	0	0	0	0	0.35474948064676	0	0	0
MSTRG.27041	0	1.64446772279865	0	5.35006750526352	2.2611281421516	2.03489997090093	0	0.148819179339612	1.83643480164938	5.11796405382894	4.07970242650501	4.02049411399662	0.642018300089626	0.935274776714838	5.93632424629231
MSTRG.27043	10.2576946600579	8.22233861399327	0	2.51767882600636	0.251236460239067	0.95759998630632	4.03684835175482	3.7204794834903	1.29630691881133	2.40845367239009	1.81320107844667	2.36499653764507	5.13614640071701	2.80582433014451	0.152213442212623
MSTRG.27046	0.854807888338155	0	0.547715915090888	0.472064779876193	0.7537093807172	0.11969999828829	0.672808058625803	0.446457538018836	0.432102306270442	0.702465654447109	0.113325067402917	0.236499653764507	0	0.350728041268064	0.152213442212623
MSTRG.27049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.304426884425247
MSTRG.2705	9.40288677171971	8.63345554469293	0	5.35006750526352	0.251236460239067	0.11969999828829	0	0.148819179339612	2.26853710791982	1.00352236349587	1.24657574143209	0.118249826882253	0.642018300089626	0.116909347089355	1.21770753770099
MSTRG.27050	0.427403944169078	0.411116930699663	1.09543183018178	0.944129559752386	0	0.11969999828829	0.336404029312901	0.446457538018836	0.864204612540884	0.602113418097522	1.24657574143209	0.827748788175774	2.5680732003585	0.116909347089355	1.36992097991361
MSTRG.27051	0	0	0.547715915090888	0.786774633126989	0	0	0	0	0	0	0	0	0	0	0.304426884425247
MSTRG.27052	0	0	0	0	0	0	0.672808058625803	0	0	0.301056709048761	0	0	0	0	0
MSTRG.27059	0.427403944169078	0	0	0	0	0	0	0	0	0.100352236349587	0	0	0	0	0
MSTRG.2706	0	0	0	0	0.251236460239067	0	0	0	0	0.602113418097522	0	0	0	0.116909347089355	0.152213442212623
MSTRG.27060	0	0	0	0.157354926625398	0	0	0	0	0	0	0.226650134805834	0	0	0	0
MSTRG.27062	10.6850986042269	16.0335602972869	44.3649891223619	30.9989205452034	19.5964438986472	35.6705994899104	35.9952311364805	34.3772304274503	47.0991513834782	35.2236349587051	35.470746097113	37.1304456410276	42.3732078059153	41.7366369108996	41.8586966084714
MSTRG.27066	0.427403944169078	2.05558465349832	2.73857957545444	2.36032389938097	2.51236460239067	3.11219995549554	1.68202014656451	4.76221373886758	8.42599497227362	7.42606548986944	3.28642695468459	4.13874394087887	1.92605490026888	3.50728041268064	5.02304359301657
MSTRG.2707	97.4480992705497	61.6675396049495	46.0081368676346	30.2121459120764	69.8437359464605	23.5808996627931	60.5527252763223	21.4299618249041	33.0558264296888	27.8979217051852	26.5180657722826	25.18721312592	26.3227503036747	19.6407703110116	23.7452969851692
MSTRG.27070	0	0	0	0	0	0	0	0	0.10802557656761	0	0	0	0	0	0
MSTRG.27071	0.427403944169078	3.70005237629697	0	0.472064779876193	3.0148375228688	0.83789998801803	2.01842417587741	0.446457538018836	0	0	1.01992560662625	0	0	0	0.152213442212623
MSTRG.27072	14.9591380459177	1.64446772279865	14.2406137923631	8.18245618452068	14.8229511541049	9.81539985963978	5.38246446900642	4.31575620084875	2.70063941419026	7.12500878082068	1.69987601104375	3.90224428711436	0	2.22127759469774	3.65312261310296
MSTRG.27073	0	0.822233861399327	0	0.944129559752386	0.251236460239067	0	0	0.148819179339612	0	0	0.113325067402917	0.118249826882253	0	0	0
MSTRG.27074	0	0	0	0	0	0	0	0	0.216051153135221	0	0	0	0	0	0
MSTRG.27075	3.41923155335262	0.822233861399327	1.64314774527266	0.629419706501591	0.251236460239067	0.23939999657658	3.36404029312901	0.297638358679224	2.26853710791982	2.3081014360405	1.13325067402917	1.06424844194028	0.642018300089626	1.05218412380419	0.304426884425247
MSTRG.27079	0.427403944169078	0.411116930699663	1.64314774527266	0.629419706501591	0.7537093807172	0.71819998972974	1.0092120879387	0.297638358679224	0.10802557656761	0.301056709048761	0.793275471820419	0.35474948064676	0.642018300089626	0.233818694178709	0.152213442212623
