"Log2MeanExon"	"Log2FC"	"pvalue"	"padj"
"MSTRG.26221:ENST00000612977.4"	9.41452905608475	0.192128319192195	1.19569461365904e-13	1.21240287260254e-10
"MSTRG.23649:ENST00000664198.1"	10.3100829333264	-0.186976471930592	1.29942332659707e-13	1.3004696155094e-10
"MSTRG.3621:MSTRG.3621.2"	3.6514915232925	-1.64822981445973	1.62409667651987e-13	1.6045658728971e-10
"MSTRG.6762:ENST00000547986.5"	5.60174291065729	-0.945213179572262	2.03434260589576e-13	1.98443683412075e-10
"MSTRG.26364:ENST00000520271.5"	7.97420737713265	-0.506950319506282	2.87884675591435e-13	2.7731211088034e-10
"MSTRG.23649:ENST00000666667.1"	3.74575346191309	1.5363091641556	3.93578449962669e-13	3.74443734703991e-10
"MSTRG.12801:MSTRG.12801.20"	4.25572796441652	-1.22046598601753	4.63050760296287e-13	4.35166069389665e-10
"MSTRG.2084:MSTRG.2084.3"	4.8582939387384	-1.24074751064706	7.40389157842286e-13	6.87420111827015e-10
"MSTRG.17181:ENST00000634509.1"	1.42120174459578	14.8099609334637	1.02695721304108e-12	9.42135437516334e-10
"MSTRG.3806:ENST00000342071.5"	4.87360911829181	0.870648558721092	1.07233833987166e-12	9.72194554672822e-10
"MSTRG.19153:ENST00000489843.1"	5.38001168904608	0.854150664034123	1.5677405516106e-12	1.40480491149089e-09
"MSTRG.1747:MSTRG.1747.2"	6.20838583566147	-0.614801716563496	1.71797695649072e-12	1.5217326462194e-09
"MSTRG.19153:ENST00000496292.5"	5.89245529917727	-0.535582175091205	1.90303601173193e-12	1.66649728563734e-09
"ENSG00000224398.7:ENST00000422261.6"	1.98856021731212	-2.51107827873097	2.16431162401707e-12	1.87400204910116e-09
"MSTRG.23073:ENST00000259939.4"	4.23114111477416	0.858550209381797	2.59733977495077e-12	2.22395775263618e-09
"MSTRG.6861:MSTRG.6861.11"	6.84341932355274	-0.367383817631769	3.40825971785581e-12	2.88623417997148e-09
"MSTRG.18:ENST00000485003.1"	4.66389779775859	0.608929456918839	3.92252067756542e-12	3.2856227005929e-09
"ENSG00000241863.6:ENST00000424616.6"	5.52292102639743	0.691624173186494	4.19471701088237e-12	3.47584174508191e-09
"MSTRG.3806:ENST00000448244.5"	4.69119925665407	0.930285276239736	5.65174169604554e-12	4.63334594234746e-09
"ENSG00000275214.4:ENST00000615978.4"	9.6531043936636	-0.240579173266157	6.42669993408631e-12	5.21320368758484e-09
"MSTRG.28327:ENST00000659852.1"	3.00599284672134	2.34072336926562	8.51392363178888e-12	6.83437482200953e-09
"ENSG00000241370.6:ENST00000473266.1"	2.07089339974784	-2.52201644304087	1.454126212742e-11	1.15523581656004e-08
"MSTRG.56:ENST00000481588.5"	3.57418697685733	1.46845080168002	1.77700438850209e-11	1.39734196108927e-08
"MSTRG.12801:ENST00000572856.1"	4.52569207559375	-1.01827015413682	2.1325545925049e-11	1.659989111188e-08
"MSTRG.12801:MSTRG.12801.22"	2.66605519919685	-2.14602035426652	3.02174816761666e-11	2.32861957292875e-08
"MSTRG.9820:ENST00000327355.6"	2.34046057134257	-15.0506527215484	4.49602688220041e-11	3.43042399600127e-08
"MSTRG.15691:ENST00000331944.10"	9.6562355725946	-0.172842291225356	5.37055898887004e-11	4.05750996863042e-08
"MSTRG.16892:ENST00000381719.8"	5.71212276882765	2.05460855211172	5.67607284114722e-11	4.24669442023774e-08
"MSTRG.12801:MSTRG.12801.21"	2.65652767191093	-2.12659369941711	6.06441221834126e-11	4.49361283047898e-08
"MSTRG.26364:ENST00000522940.5"	7.97328741835117	-0.493734381841236	7.84368182515547e-11	5.75666484581077e-08
"MSTRG.12242:ENST00000648873.1"	4.12907718562748	-1.36039127068766	1.11095202154685e-10	8.07662119664563e-08
"MSTRG.23649:ENST00000623910.4"	5.5454912351218	0.892659567385105	1.31541241785994e-10	9.47367399487127e-08
