GeneName	FoldChange	Pvalue
TMEM184B	-1.09926979189356	0.0254616770260558
LSM2	0.466005003004839	0.0258490231978546
CISD1	0.426422841163774	0.0260442244583756
IRF9	0.60947015394529	0.0260691046607008
NDUFA6	0.327576979985201	0.0261595975837687
INSIG1	-0.832421946025657	0.0269167242480626
HMGN3	0.341896197401404	0.0269738470815817
MTM1	5.72727132846589	0.0269738470815817
MICOS10	0.31002667734519	0.0272159626661113
PARK7	0.401953715275003	0.0273919761724398
NDUFA6	0.327270030933917	0.0273919761724398
BCS1L	1.43741773390964	0.0275909049208076
PITPNM1	5.41508167278824	0.0275909049208076
TBCA	0.28974175499221	0.0275909049208076
CSTF3	0.761460269833455	0.0279167018448651
RPL21P16	0.432242713930545	0.0289337246258582
MMRN1	-0.639461716007123	0.0297924775684016
7SK	-0.721646044108722	0.0297924775684016
RN7SK	-0.721646044108722	0.0297924775684016
RPS8	0.298376943938118	0.0305919956065534
MYH10	-0.693317184909493	0.0306444718091529
SIPA1L1	-3.04971939217988	0.0311400117795674
UHRF2	-2.80500789315652	0.0313050072290344
NUTF2	0.343239336176685	0.0320118677721429
RPL41	0.307259304449115	0.0320118677721429
TTC31	-4.88392363943821	0.0327948817378767
CEP57	-1.93548802571249	0.0327948817378767
TYW1	-2.94604166784505	0.0334193705845421
MALT1	-3.66973658015565	0.0335825842433659
C12orf57	0.328933817578745	0.0335825868088423
ACVR1	-3.00950257732412	0.033944990426624
LSM8	0.292460901398577	0.033944990426624
SDHAF2	0.66830639326296	0.033944990426624
TKT	-0.825885161811813	0.0342926577411005
RPL7	0.449440550581407	0.034426217773861
RPS3A	0.500754367468595	0.0345785022670213
NDUFA5	0.365457186025996	0.0347335530016839
RPS3A	0.497656332172621	0.0349506900522708
CHCHD1	0.341012162918359	0.0352108870103788
KRT7	1.26855895518116	0.0353420331895953
ZEB2	-4.26928367247365	0.0353420331895953
PSMB9	1.96357861311379	0.0353420331895953
PSMB9	1.52895070010205	0.0353420331895953
EEF1B2	0.34463499728583	0.0353420331895953
TOMM6	0.303535102508027	0.0355932742807647
GPI	-0.8541167596948	0.0358204100663593
TRAF7	-1.92134313674749	0.0360804613156137
DAD1	0.25088744613748	0.0361599606240837
COA5	0.492711588940955	0.0361599606240837
MRPL4	-1.61349643689853	0.0364116728975895
PSMB9	1.49366163405964	0.0364116728975895
DMTF1	-4.59783168724325	0.0365568946266783
EEF1B2	0.346696597763342	0.0371043593266776
PABIR2	-2.62559055252627	0.0371043593266776
TXNDC17	0.247452057027404	0.0372930670147284
RPS4X	0.415094182575938	0.0374865517916531
OCEL1	-3.77401585008093	0.0377538924392848
CHMP2A	0.301228064256481	0.0377538924392848
NDUFB9	0.370135750640392	0.0377987315375809
OAS1	2.22774140703448	0.0378261103461064
PSMB2	0.353180932839292	0.0380413716550833
TNPO1	-0.651921703627867	0.0386940332373608
SEM1	0.300960682990876	0.0387441587389461
CSNK2B	0.51411570864824	0.0387441587389461
LAMTOR2	0.336492459802463	0.0389819472858266
ZFAS1	0.270968539411713	0.0392742222934502
UBE2L3	0.410032694480318	0.0392742222934502
PTMA	0.345763977068971	0.0392742222934502
RPL36A	0.277447976851143	0.0392742222934502
RPL39	0.268897695467873	0.0405844783717378
RPL32	0.262527972409194	0.0405904776855266
NR1H2	-1.78650906258677	0.0407392904841561
HSPG2	-0.502133876488207	0.0420682535726175
NDUFA3	0.324272550567841	0.0425373264270662
VCP	-0.520697750793696	0.0432575148450265
CTNNB1	0.66053492217964	0.0432575148450265
ANAPC11	0.285128300165416	0.0432798381013408
MYL6	0.29254310107909	0.0446699440199225
FAM136A	0.345184042388592	0.045539705450947
MYLK	-2.34609913612337	0.045539705450947
RPL13AP5	0.250982142580952	0.045539705450947
RPS9	-0.549094005523861	0.0458035769938034
ARL6IP4	-0.865063814360977	0.0460457288611324
TNFRSF1A	-1.22498001100215	0.0465921855949987
KCNC4	-2.64256577203698	0.0465921855949987
RBM10	-1.2297527225631	0.0473245260063804
LAMTOR5	0.314296502211885	0.0481822819953092
GSTM3	-0.793553560916123	0.0483531082381132
RAF1	-1.78969965184138	0.0487427917028375
CADPS2	-3.7425084974796	0.0492192572092117
SEPTIN1	-5.55963502331034	0.0492440191645451
POLR1B	-1.75072300361706	0.0499784159222187
MRPS21	0.284082956993062	0.0502718807441885
HNMT	1.09792035422133	0.0508641058693359
RPS26	0.256891402326097	0.0508641058693359
CACHD1	4.73905535947852	0.0516082558642637
SH2D3C	0.956828376543019	0.0517455122693318
P3H3	-0.897452427363488	0.0517805814334793
