transcript_id,q_value
ENST00000540871.5,0.0353809
ENST00000469050.1,0.035942399
ENST00000678791.1,0.036346643
ENST00000380394.9,0.036583687
ENST00000373238.5,0.036932459
ENST00000467415.5,0.037247018
ENST00000513124.1,0.037569955
ENST00000228136.9,0.03775569
ENST00000677452.1,0.03775569
ENST00000681842.1,0.03775569
ENST00000476258.5,0.03775569
ENST00000620720.3,0.038353781
ENST00000625297.1,0.038353781
ENST00000649813.2,0.03847225
ENST00000475783.1,0.038574008
ENST00000265462.9,0.038827533
ENST00000562133.5,0.039064556
ENST00000487970.1,0.039064556
ENST00000535434.5,0.039237426
ENST00000438261.5,0.039237426
ENST00000370873.9,0.039286099
ENST00000524810.5,0.039860084
ENST00000442975.6,0.040452224
ENST00000495843.1,0.040452224
ENST00000634230.1,0.040452224
ENST00000634474.1,0.040679497
ENST00000301587.9,0.043390672
ENST00000229281.6,0.043530644
ENST00000508200.5,0.043588967
ENST00000472944.6,0.043588967
ENST00000477151.2,0.04371685
ENST00000552013.1,0.04371685
ENST00000366816.5,0.043892979
ENST00000223641.5,0.044085998
ENST00000498603.5,0.044085998
ENST00000359944.10,0.044401687
ENST00000296930.10,0.044479662
ENST00000340385.6,0.044824041
ENST00000470017.1,0.044824041
ENST00000409729.1,0.044915962
ENST00000678135.1,0.044915962
ENST00000525297.5,0.044915962
ENST00000592940.2,0.044915962
ENST00000565723.1,0.044915962
ENST00000575427.1,0.044915962
ENST00000570801.1,0.044915962
ENST00000639289.1,0.044915962
ENST00000549533.1,0.045084425
ENST00000376817.8,0.045420356
ENST00000527146.1,0.047141018
ENST00000421473.6,0.047177491
ENST00000681304.1,0.047191871
ENST00000547157.1,0.04773267
ENST00000400052.7,0.048033326
ENST00000409646.5,0.048474975
ENST00000709519.1,0.048474975
ENST00000614095.4,0.048580116
ENST00000570259.1,0.048782675
ENST00000618321.1,0.048782675
ENST00000396060.7,0.048819199
ENST00000393394.5,0.048819199
ENST00000631958.1,0.048819199
ENST00000525034.1,0.049617649
ENST00000215570.8,0.049617649
ENST00000591871.1,0.049617649
ENST00000377493.9,0.049617649
ENST00000373116.6,0.049617649
ENST00000487892.1,0.049617649
ENST00000413456.6,0.049617649
ENST00000378513.7,0.049617649
ENST00000479802.1,0.049617649
ENST00000553100.1,0.049855014
ENST00000565985.1,0.050665227
ENST00000561840.1,0.05106146
ENST00000472283.1,0.051150584
ENST00000465096.5,0.051302655
ENST00000368809.1,0.051302655
ENST00000228306.8,0.051480473
ENST00000493287.5,0.051924932
ENST00000377017.5,0.052373661
ENST00000497322.1,0.052774016
ENST00000488946.1,0.053224936
ENST00000333130.4,0.054343159
ENST00000630046.2,0.054534589
ENST00000464651.1,0.054534589
ENST00000249289.5,0.054581128
ENST00000492758.1,0.054581128
ENST00000367378.6,0.055269154
ENST00000645729.1,0.055461829
ENST00000304834.11,0.056311145
ENST00000524576.5,0.056330171
ENST00000593087.1,0.057993811
ENST00000530666.1,0.058457003
ENST00000333926.6,0.058480933
ENST00000506855.1,0.058480933
ENST00000329092.12,0.05886165
ENST00000636618.1,0.059004907
ENST00000549566.5,0.059295355
ENST00000534781.1,0.059523691
ENST00000482975.6,0.059951586
ENST00000681840.1,0.059985649
ENST00000503064.5,0.060391312
ENST00000489315.5,0.060730796
ENST00000368305.9,0.060730796
ENST00000477403.1,0.060804156
ENST00000531357.1,0.061069126
ENST00000548259.1,0.061152953
ENST00000463232.5,0.061152953
ENST00000373715.11,0.061280032
ENST00000474171.1,0.061734604
ENST00000593254.1,0.062651961
ENST00000259038.6,0.063024611
ENST00000679793.1,0.063024611
ENST00000487233.1,0.063024611
ENST00000525085.1,0.063668654
ENST00000368439.5,0.063668654
ENST00000525981.1,0.063896311
ENST00000709311.1,0.063896311
ENST00000646203.1,0.064024178
ENST00000437561.2,0.064040501
ENST00000622587.4,0.064299002
ENST00000356455.9,0.064299002
ENST00000627305.2,0.065035318
ENST00000572179.5,0.065037001
ENST00000531120.6,0.065760242
ENST00000544599.5,0.067507258
ENST00000393103.2,0.067705874
ENST00000528164.1,0.06782668
ENST00000528957.6,0.06782668
ENST00000656829.1,0.06782668
ENST00000506525.5,0.06782668
ENST00000474740.1,0.06782668
ENST00000461925.1,0.06782668
ENST00000489407.1,0.06782668
ENST00000512737.6,0.06782668
ENST00000529272.5,0.068070322
