Ensayo de Compresion - Specimen_RawData_1
C10: 4.2307, C20: 0.7475, C30: 0.0000 (kPa)
Lambda Stress(kPa)
0.93249781 0.51958507
0.93242982 0.51835288
0.93232675 0.52117480
0.93225877 0.52354696
0.93215570 0.52427284
0.93208772 0.52615359
0.93198465 0.52577317
0.93188158 0.52859287
0.93177851 0.52860030
0.93171053 0.53296190
0.93160746 0.53347395
0.93150439 0.53643800
0.93140132 0.53842796
0.93133333 0.54097939
0.93123026 0.54010726
0.93112719 0.54401320
0.93105921 0.54291993
0.93095614 0.54836839
0.93085307 0.54813944
0.93078509 0.55073981
0.93068202 0.55274118
0.93057895 0.55553185
0.93047588 0.55470990
0.93037500 0.55726707
0.93027193 0.56148174
0.93016886 0.56391200
0.93006579 0.56841732
0.92996272 0.56987432
0.92985965 0.57148443
0.92979167 0.57218790
0.92968860 0.57319108
0.92962061 0.57561094
0.92951754 0.57648206
0.92941447 0.57943442
0.92934649 0.58074306
0.92924342 0.58162792
0.92914035 0.58303825
0.92907237 0.58814257
0.92896930 0.58886571
0.92890132 0.59153796
0.92879825 0.59312909
0.92869518 0.59307787
0.92862719 0.59399768
0.92852412 0.59876195
0.92842105 0.59970227
0.92835307 0.59998663
0.92825000 0.60466126
0.92814693 0.60279994
0.92807895 0.60511868
0.92797588 0.61047677
0.92790570 0.61042331
0.92783772 0.61205552
0.92773465 0.61062426
0.92766667 0.61262062
0.92756360 0.61850752
0.92749561 0.61765319
0.92739254 0.62074002
0.92732456 0.62119732
0.92725658 0.62357087
0.92715351 0.62474011
0.92705044 0.62632430
0.92694737 0.62869480
0.92684430 0.63405814
0.92674123 0.63449739
0.92663816 0.63554818
0.92657018 0.63750384
0.92646711 0.63952234
0.92636404 0.64214457
0.92626316 0.64379239
0.92619298 0.64525745
0.92612500 0.64785183
0.92602193 0.64854378
0.92595395 0.65062809
0.92585088 0.65275282
0.92578289 0.65592764
0.92567982 0.65797863
0.92557675 0.65841449
0.92547368 0.66063198
0.92537061 0.66204181
0.92530263 0.66477071
0.92519956 0.66792465
0.92509649 0.66834457
0.92502851 0.67155192
0.92492544 0.66861346
0.92485746 0.66852798
0.92475439 0.66911475
0.92465132 0.67120543
0.92458333 0.67624912
0.92448026 0.67680576
0.92437719 0.67832833
0.92427412 0.67951645
0.92417105 0.68495992
0.92410307 0.68893974
0.92400000 0.68900085
0.92389693 0.69360670
0.92379386 0.69553286
0.92372588 0.69542361
0.92362281 0.70037571
0.92352193 0.70246182
0.92341886 0.70505372
0.92331579 0.70630277
0.92321272 0.70964811
0.92310965 0.71269528
0.92300658 0.71521953
0.92290351 0.72108647
0.92280044 0.72039682
0.92273246 0.72631121
0.92266447 0.72463363
0.92259649 0.72796589
0.92249342 0.72747137
0.92242544 0.73133917
0.92232237 0.73253303
0.92221930 0.73515424
0.92214912 0.73648233
0.92204825 0.73781464
0.92194518 0.74152837
0.92187719 0.74270519
0.92177412 0.74604825
0.92167105 0.74994821
0.92156798 0.75034954
0.92150000 0.75458821
0.92139693 0.75745787
0.92132675 0.76034679
0.92125877 0.76275204
0.92119079 0.76276090
0.92112281 0.76367453
0.92105263 0.76691672
0.92095175 0.76805576
0.92088158 0.76924188
0.92077851 0.77235387
0.92067763 0.77721056
0.92057456 0.78042945
0.92047149 0.78465299
0.92036842 0.78700241
0.92026535 0.78926450
0.92016228 0.79145376
0.92009430 0.79375231
0.91999123 0.79601292
0.91992325 0.79690830
0.91982018 0.80121362
0.91975219 0.80181210
0.91964912 0.80544396
0.91954605 0.80738414
0.91947807 0.81051803
0.91937500 0.81271733
0.91927193 0.81665703
0.91916886 0.81709995
0.91906579 0.82064102
0.91899781 0.82304285
0.91889474 0.82840939
0.91879167 0.82811431
0.91872368 0.83148945
0.91862061 0.83407425
0.91851754 0.83774833
0.91844956 0.84067424
0.91834649 0.84230462
0.91824342 0.84511075
0.91814035 0.84948905
0.91803728 0.85152180
0.91796930 0.85381754
0.91786623 0.85635428
0.91776316 0.85917168
0.91766228 0.86475232
0.91755921 0.86602513
0.91742105 0.87081856
0.91731798 0.87194614
0.91725000 0.87704949
0.91714693 0.87705905
0.91707895 0.88033061
0.91701096 0.88083462
0.91690789 0.88368250
0.91683991 0.88561264
0.91673684 0.88666568
0.91666886 0.89136125
0.91659868 0.89387156
0.91649561 0.89423917
0.91642763 0.89779510
0.91632456 0.89989028
0.91622149 0.90264734
0.91611842 0.90692991
0.91601754 0.90911904
0.91591447 0.91171573
0.91584430 0.91579119
0.91574342 0.92083542
0.91564035 0.92160238
0.91557237 0.92383623
0.91546930 0.92641551
0.91536623 0.92934664
0.91529605 0.93151943
0.91522807 0.93242115
0.91512500 0.93587573
0.91505702 0.93757508
0.91498904 0.93979184
0.91488596 0.94171333
0.91481798 0.94449726
0.91471491 0.94738818
0.91464693 0.95129955
0.91454386 0.95244998
0.91444079 0.95631634
0.91433772 0.95901784
0.91423465 0.96334231
0.91413158 0.96764423
0.91406360 0.96869996
0.91396053 0.97146350
0.91385746 0.97566980
0.91378947 0.97670303
0.91368640 0.97961555
0.91358333 0.98333860
0.91351535 0.98574199
0.91341228 0.98783430
0.91330921 0.99088780
0.91324123 0.99348362
0.91313816 0.99738258
0.91303509 1.00048425
0.91296711 1.00350180
0.91286404 1.00432821
0.91276096 1.00838204
0.91269298 1.01150563
0.91258991 1.01565824
0.91248684 1.01855508
0.91238377 1.02063391
0.91228289 1.02228457
0.91221272 1.02524525
0.91210965 1.02745164
0.91197368 1.03257289
0.91187061 1.03712093
0.91176754 1.04029230
0.91166447 1.04446587
0.91156140 1.04866712
0.91146053 1.04973285
0.91139035 1.05418540
0.91132237 1.05515946
0.91121930 1.05645788
0.91115132 1.05955088
0.91108333 1.06307296
0.91098026 1.06376161
0.91091009 1.06715843
0.91080921 1.06837864
0.91070614 1.07491315
0.91056798 1.07914341
0.91046491 1.08076695
0.91036404 1.08606253
0.91026096 1.09121838
0.91019079 1.09263623
0.91008772 1.09496547
0.91001974 1.09767970
0.90995175 1.09902063
0.90988377 1.09951767
0.90978070 1.10493365
0.90971272 1.10635943
0.90964254 1.10936202
0.90953947 1.11103027
0.90943860 1.11365126
0.90936842 1.11638793
0.90926535 1.11814769
0.90916447 1.12373903
0.90906140 1.12814057
0.90899123 1.12981777
0.90889035 1.13270635
0.90882018 1.13481848
0.90875219 1.13521919
0.90868421 1.13924717
0.90861623 1.14218213
0.90851316 1.14373740
0.90841009 1.14844742
0.90830702 1.15267099
0.90820395 1.15470974
0.90810088 1.15854625
0.90799781 1.16034122
0.90789474 1.16434025
0.90782675 1.16665713
0.90772368 1.16895700
0.90765570 1.17327726
0.90755263 1.17514800
0.90748465 1.17794805
0.90741667 1.18065496
0.90731360 1.18275245
0.90724561 1.18603592
0.90714254 1.18778307
0.90703947 1.19102656
0.90697149 1.19576941
0.90686842 1.19765023
0.90676535 1.20094855
0.90669737 1.20407895
0.90659430 1.20622889
0.90649123 1.21037994
0.90638816 1.21444455
0.90628509 1.21615807
0.90621711 1.21916451
0.90611404 1.22450845
0.90601096 1.22707456
0.90594298 1.22901850
0.90583991 1.23044466
0.90573684 1.23302346
0.90563377 1.23422817
0.90556579 1.23713134
0.90546272 1.23987928
0.90535965 1.24419884
0.90525658 1.24744323
0.90518860 1.25018764
0.90508553 1.25323155
0.90498246 1.25712809
0.90491447 1.25926646
0.90481140 1.26337483
0.90474342 1.26736787
0.90464035 1.26976129
0.90453728 1.27166369
0.90443421 1.27710494
0.90436623 1.28110231
0.90426316 1.28190848
0.90416009 1.28598268
0.90405702 1.28963678
0.90395614 1.29294509
0.90385307 1.29622818
0.90378289 1.30040291
0.90368202 1.30322605
0.90357895 1.30897780
0.90347588 1.30966623
0.90340789 1.31401876
0.90330482 1.31733986
0.90323465 1.31633612
0.90313377 1.32120658
0.90306360 1.32372955
0.90299561 1.32768158
0.90289254 1.32862976
0.90282456 1.33214787
0.90275658 1.33441692
0.90265351 1.33804518
0.90258553 1.34104384
0.90248246 1.34491881
0.90237939 1.34933176
0.90231140 1.35104525
0.90220833 1.35278384
0.90210526 1.35612406
0.90203728 1.36026062
0.90189912 1.36427622
0.90179605 1.36859888
0.90172807 1.37291016
0.90162500 1.37555889
0.90152193 1.38050226
0.90145395 1.38268618
0.90135088 1.38499999
0.90124781 1.38906959
0.90117982 1.39101845
0.90107675 1.39371995
0.90100877 1.39891075
0.90090570 1.40126389
0.90080263 1.40479149
0.90073465 1.40842974
0.90063158 1.41348446
0.90052851 1.41490781
0.90042544 1.41859497
0.90032237 1.42231663
0.90022149 1.42539714
0.90011842 1.42944954
0.90001535 1.43055888
0.89991228 1.43658265
0.89980921 1.43765549
0.89974123 1.44272932
0.89963816 1.44488988
0.89953509 1.44729730
0.89946711 1.44920938
0.89936404 1.45460522
0.89926096 1.45847345
0.89915789 1.45880087
0.89905482 1.46361433
0.89898684 1.46742433
0.89888377 1.46883830
0.89878070 1.47310522
0.89871272 1.47518305
0.89864474 1.47768424
0.89854167 1.47844678
0.89847368 1.48346771
0.89837061 1.48457529
0.89826754 1.48956481
0.89816447 1.49259107
0.89806140 1.49675278
0.89799342 1.49937739
0.89789035 1.50057409
0.89782237 1.50518740
0.89771930 1.50836540
0.89765132 1.50982416
0.89754825 1.51113898
0.89744518 1.51428701
0.89737719 1.51875585
0.89727412 1.52309392
0.89720614 1.52568583
0.89710307 1.52824575
0.89700000 1.53136894
